titles,platforms,metascore,userscore,genre,date
Call of Duty Mobile,iOS,81,7.2,action,30-Sep-19
Cyber Protocol,Switch,71,7,action,26-Sep-19
Cat Quest II: The Lupus Empire,PC,76,7.4,action,24-Sep-19
Sayonara Wild Hearts,PlayStation 4,82,6.6,action,19-Sep-19
Jet Kave Adventure,Switch,65,6.2,action,17-Sep-19
Borderlands 3,PlayStation 4,78,5.9,action,13-Sep-19
Borderlands 3,Xbox One,82,5.5,action,13-Sep-19
Borderlands 3,PC,81,5.3,action,13-Sep-19
Star Wars Pinball,Switch,86,7.3,action,13-Sep-19
Gears 5,PC,82,6.9,action,10-Sep-19
River City Girls,Switch,79,6.9,action,5-Sep-19
River City Girls,PlayStation 4,79,6.5,action,5-Sep-19
River City Girls,Xbox One,80,6.7,action,5-Sep-19
Super Kirby Clash,Switch,74,7.4,action,4-Sep-19
Project Nimbus: Code Mirai,PlayStation 4,73,5.8,action,3-Sep-19
Bulletstorm: Duke of Switch Edition,Switch,74,7.4,action,30-Aug-19
Hunt: Showdown,PC,81,7.1,action,27-Aug-19
Whipseey and the Lost Atlas,Switch,54,6.6,action,27-Aug-19
Gears Pop!,iOS,64,6.1,action,22-Aug-19
Remnant: From the Ashes,Xbox One,81,7.2,action,20-Aug-19
Remnant: From the Ashes,PlayStation 4,77,7.1,action,20-Aug-19
Remnant: From the Ashes,PC,78,6.7,action,19-Aug-19
Ion Fury,PC,79,6.9,action,15-Aug-19
The Great Perhaps,PC,54,7.1,action,14-Aug-19
Sword Art Online: Fatal Bullet - Complete Edition,Switch,63,6.7,action,9-Aug-19
Turok 2: Seeds of Evil Remaster,Switch,60,7.3,action,9-Aug-19
Doughlings: Invasion,Switch,54,6.8,action,8-Aug-19
Kill la Kill: IF,PlayStation 4,68,6.4,action,26-Jul-19
Kill la Kill: IF,Switch,65,6.8,action,26-Jul-19
Songbird Symphony,PlayStation 4,81,5.2,action,25-Jul-19
Woodle Tree 2: Deluxe,Switch,61,7.2,action,25-Jul-19
GORN,PC,85,7.1,action,18-Jul-19
Dead Cells,iOS,84,6.9,action,17-Jul-19
198X,PlayStation 4,74,5.9,action,16-Jul-19
Blazing Chrome,PC,79,7.3,action,11-Jul-19
Sairento VR,PlayStation 4,82,6.1,action,10-Jul-19
Attack on Titan 2: Final Battle,PlayStation 4,75,5.1,action,5-Jul-19
Attack on Titan 2: Final Battle,Switch,71,7.1,action,5-Jul-19
Red Faction: Guerrilla Re-Mars-tered,Switch,72,6.8,action,2-Jul-19
Furwind,Switch,69,5.3,action,27-Jun-19
Bloodstained: Ritual of the Night,Switch,74,5.5,action,25-Jun-19
Samurai Shodown,Xbox One,78,7.1,action,25-Jun-19
Muse Dash,Switch,73,6,action,20-Jun-19
198X,PC,63,5.5,action,20-Jun-19
